"Movie","Valence","ArousalGenre"
"10-things-i-hate-about-you","5.76657921811","4.07077417695","Comedy"
"12-and-holding","5.65219445139","4.02454886278","Drama"
"12-monkeys","5.53820886551","4.04376558978","Drama"
"12-years-a-slave","5.62131189614","4.02212560386","Drama"
"127-hours","5.62058767773","3.98481279621","Drama"
"1492-conquest-of-paradise","5.68868089431","3.9898495935","Drama"
"15-minutes","5.52915722121","4.07998354662","Crime"
"17-again","5.73534464475","4.00332449629","Drama"
"187","5.53340181818","3.99266909091","Drama"
"2012","5.68377476352","4.04554345886","Action"
"30-minutes-or-less","5.54797195622","4.20561046512","Action"
"42","5.71029491587","3.94870454134","Drama"
"44-inch-chest","5.64088243586","4.08951790245","Crime"
"50-50","5.6944004171","4.07482377477","Drama"
"500-days-of-summer","5.87013243243","4.06545675676","Drama"
"8mm","5.59855483681","3.94045574831","Thriller"
"a-dry-white-season","5.62261280447","3.98803407427","Drama"
"a-few-good-men","5.56100364674","3.96243856033","Thriller"
"a-most-violent-year","5.69302603424","3.94734843081","Crime"
"a-nightmare-on-elm-street","5.56474440895","4.02003549876","Mystery"
"a-perfect-world","5.5943793911","4.00478253597","Crime"
"a-walk-to-remember","5.80034054974","3.94009243493","Romance"
"above-the-law","5.45198696495","4.0443086137","Action"
"absolute-power","5.67523883495","4.01389514563","Drama"
"adaptation","5.76031711772","4.0467192429","Drama"
"affliction","5.59506504065","4.07955284553","Drama"
"after-school-specia","5.79593700431","4.0913097666","Comedy"
"after.life","5.50282775769","3.90674728752","Thriller"
"airplane-2-the-sequel","5.58235233798","4.01492821985","Sci-Fi"
"airplane","5.72350049407","4.02216650198","Romance"
"ali","5.61047922849","4.08984421365","Drama"
"alien-3","5.5413601741","3.91484657236","Drama"
"alien-nation","5.50601229088","4.01829293274","Drama"
"alien-resurrection","5.46729083665","4.07265537849","Action"
"alien-vs.-predator","5.4174321608","4.0248559464","Horror"
"aliens","5.41250612745","4.04875153186","Action"
"all-about-steve","5.67397098646","3.9835106383","Comedy"
"alone-in-the-dark","5.46718983256","3.97943715957","Action"
"amadeus","5.7820233513","4.04660379779","Drama"
"amelia","5.82800358423","4.0033046595","Drama"
"american-beauty","5.71912247325","4.05393103448","Drama"
"american-gangster","5.64182452945","4.03699301761","Drama"
"american-hustle","5.78563054765","4.09928152738","Drama"
"american-madness","5.7132987383","3.9702035002","Drama"
"american-psycho","5.65550425818","4.01133572389","Drama"
"american-shaolin-king-of-kickboxers-ii","5.65332968237","3.96834246075","Action"
"american-sniper","5.53766101695","4.10097457627","Action"
"american-splendor","5.73479429251","4.02434720571","Drama"
"american-werewolf-in-london","5.56144490934","4.08058856346","Comedy"
"amour","5.7609886059","3.88439343164","Romance"
"an-education","5.87848943887","3.980087476","Drama"
"analyze-that","5.63839448521","4.10033800311","Crime"
"analyze-this","5.6938772578","4.07240968801","Crime"
"angel-eyes","5.70125472022","4.03976313079","Romance"
"anna-karenina","5.79972093023","3.96961717352","Drama"
"annie-hall","5.83243890597","3.99369315423","Romance"
"anonymous","5.68854662973","4.06278301016","Drama"
"antitrust","5.67862122386","3.93009101472","Thriller"
"antz","5.52143488943","4.07119410319","Fantasy"
"apocalypse-now","5.51677787091","4.09394132439","Action"
"april-fool's-day","5.67303440367","3.94457568807","Comedy"
"arbitrage","5.71966120219","4.00410928962","Thriller"
"argo","5.65947586543","3.97622623111","Thriller"
"armageddon","5.49988239686","4.0481948852","Thriller"
"army-of-darkness","5.33527235355","4.07351832819","Horror"
"arthur","5.73133429276","4.09646792763","Comedy"
"as-good-as-it-gets","5.74063970285","4.04883821709","Drama"
"assassins","5.62962648557","4.00596113941","Thriller"
"august-osage-county","5.73435665914","4.01057750188","Drama"
"austin-powers---international-man-of-mystery","5.63994626168","4.10704439252","Comedy"
"austin-powers---the-spy-who-shagged-me","5.70454136928","4.12590536611","Comedy"
"authors-anonymous","5.93540318907","3.91877676538","Comedy"
"autumn-in-new-york","5.76533824385","4.0178988176","Drama"
"avatar","5.55608363434","4.08358988608","Adventure"
"babel","5.54874275362","4.07769202899","Thriller"
"bachelor-party","5.81014122534","4.10128971963","Comedy"
"backdraft","5.47913475405","4.05848101266","Drama"
"bad-boys","5.62089798412","4.06497047445","Comedy"
"bad-country","5.42087857626","3.99621311106","Crime"
"bad-day-at-black-rock","5.48089533933","3.97601390025","Drama"
"bad-dreams","5.57149727768","4.02269056261","Thriller"
"bad-lieutenant","5.57549171271","4.20019521179","Crime"
"bad-santa","5.6027417487","4.06121598147","Comedy"
"bad-teacher","5.8145763873","4.00766841745","Comedy"
"badlands","5.70015022861","3.93566949706","Thriller"
"bamboozled","5.77177812439","4.08531487619","Comedy"
"basic-instinct","5.56772415483","4.15666095051","Crime"
"basic","5.47672153953","4.06662415952","Thriller"
"basquiat","5.75954262988","3.95679592344","Drama"
"batman-2","5.53916155692","3.98367901893","Thriller"
"batman","5.51875734158","4.04039567233","Fantasy"
"battle-los-angeles","5.44871862616","4.05223778071","Sci-Fi"
"bean","5.70204817475","3.93436864153","Comedy"
"beasts-of-the-southern-wild","5.67172489684","4.04466850069","Fantasy"
"beavis-and-butt-head-do-america","5.61257126404","4.06038295422","Animation"
"beginners","5.84040283688","4.01978723404","Romance"
"being-human","5.75227099896","3.98260744325","Fantasy"
"being-john-malkovich","5.69440976039","4.05110793581","Fantasy"
"being-there","5.76756950367","3.88316732048","Comedy"
"belle","5.70062881701","3.97346301742","Drama"
"beloved","5.84725942923","3.97516133658","Drama"
"big-eyes","5.76485443466","4.07625592417","Crime"
"big-fish","5.74435893011","4.00139430544","Adventure"
"birdman","5.69664586269","4.06783370244","Drama"
"birthday-girl","5.67484989083","3.93635098253","Crime"
"black-rain","5.55070883989","3.94484030497","Crime"
"black-snake-moan","5.64649982438","4.03995785037","Drama"
"black-swan","5.64679364209","4.01074815018","Drama"
"blade-runner","5.65829302736","3.96680494263","Sci-Fi"
"blade-trinity","5.46386817832","4.07204650269","Action"
"blade","5.44877069834","4.0844600432","Action"
"blood-and-wine","5.69131165195","3.95255222916","Crime"
"blood-simple","5.57349709784","3.84127694859","Drama"
